,order_id,drink,size,price
0,1,Latte,Extra Small,4.5
1,2,Espresso,Small,3.0
2,3,Cappuccino,Medium,4.0
3,4,Americano,Large,3.5
4,5,Mocha,Extra Large,4.75
5,6,Latte,Extra Small,4.5
6,7,Espresso,Small,3.1
7,8,Cappuccino,Medium,4.7
8,9,Americano,Large,3.7
9,10,Mocha,Extra Large,4.75
10,11,Latte,Extra Small,4.5
11,12,Espresso,Small,3.0
12,13,Cappuccino,Medium,4.0
13,14,Americano,Large,3.5
14,15,Mocha,Extra Large,4.75
15,16,Latte,Extra Small,4.5
16,17,Espresso,Small,3.0
17,18,Cappuccino,Medium,4.0
18,19,Americano,Large,3.5
19,20,Mocha,Extra Large,4.75
20,21,Latte,Extra Small,4.5
21,22,Espresso,Small,3.0
22,23,Cappuccino,Medium,4.0
23,24,Americano,Large,3.5
24,25,Mocha,Extra Large,4.75
25,26,Latte,Extra Small,4.5
26,27,Espresso,Small,3.0
27,28,Cappuccino,Medium,4.0
28,29,Americano,Large,3.5
29,30,Mocha,Extra Large,4.75
30,31,Latte,Extra Small,4.5
31,32,Espresso,Small,3.0
32,33,Cappuccino,Medium,4.0
33,34,Americano,Large,3.5
34,35,Mocha,Extra Large,4.75
35,36,Latte,Extra Small,4.5
36,37,Espresso,Small,3.0
37,38,Cappuccino,Medium,4.0
38,39,Americano,Large,3.5
39,40,Mocha,Extra Large,4.75
40,41,Latte,Extra Small,4.5
41,42,Espresso,Small,3.0
42,43,Cappuccino,Medium,4.0
43,44,Americano,Large,3.5
44,45,Mocha,Extra Large,4.75
45,46,Latte,Extra Small,4.5
46,47,Espresso,Small,3.0
47,48,Cappuccino,Medium,4.0
48,49,Americano,Large,3.5
49,50,Mocha,Extra Large,4.75
50,51,Latte,Extra Small,4.5
51,52,Espresso,Small,3.0
52,53,Cappuccino,Medium,4.0
53,54,Americano,Large,3.5
54,55,Mocha,Extra Large,4.75
55,56,Latte,Extra Small,4.5
56,57,Espresso,Small,3.0
57,58,Cappuccino,Medium,4.0
58,59,Americano,Large,3.5
59,60,Mocha,Extra Large,4.75
60,61,Latte,Extra Small,4.5
61,62,Espresso,Small,3.0
62,63,Cappuccino,Medium,4.0
63,64,Americano,Large,3.5
64,65,Mocha,Extra Large,4.75
65,66,Latte,Extra Small,4.5
66,67,Espresso,Small,3.0
67,68,Cappuccino,Medium,4.0
68,69,Americano,Large,3.5
69,70,Mocha,Extra Large,4.75
70,71,Latte,Extra Small,4.5
71,72,Espresso,Small,3.0
72,73,Cappuccino,Medium,4.0
73,74,Americano,Large,3.5
74,75,Mocha,Extra Large,4.75
75,76,Latte,Extra Small,4.5
76,77,Espresso,Small,3.0
77,78,Cappuccino,Medium,4.0
78,79,Americano,Large,3.5
79,80,Mocha,Extra Large,4.75
80,81,Latte,Extra Small,4.5
81,82,Espresso,Small,3.0
82,83,Cappuccino,Medium,4.0
83,84,Americano,Large,3.5
84,85,Mocha,Extra Large,4.75
85,86,Latte,Extra Small,4.5
86,87,Espresso,Small,3.0
87,88,Cappuccino,Medium,4.0
88,89,Americano,Large,3.5
89,90,Mocha,Extra Large,4.75
90,91,Latte,Extra Small,4.5
91,92,Espresso,Small,3.0
92,93,Cappuccino,Medium,4.0
93,94,Americano,Large,3.5
94,95,Mocha,Extra Large,4.75
95,96,Latte,Extra Small,4.5
96,97,Espresso,Small,3.0
97,98,Cappuccino,Medium,4.0
98,99,Americano,Large,3.5
99,100,Mocha,Extra Large,4.75
